Number Of Species,Group,Genus,Biggest Threat,Prey,Location,Skin Type,Gestation Period,Kingdom,Age Of Weaning,Scientific Name,header_name,Diet,Top Speed,Estimated Population Size,Average Litter Size,Size (L),Other Name(s),Class,Lifestyle,Age Of Sexual Maturity,Colour,Name Of Young,Life Span,Predators,Fun Fact,Common Name,Order,Group Behaviour,Family,Habitat,Conservation Status,Most Distinctive Feature,Weight,Phylum
,,Sphenodon,,,,Scales,,Animalia,,Sphenodon Punctatus,Tuatara,Carnivore,24km/h (15mph),,12,,,Reptilia,Solitary,,"Green, Brown, Grey",,50-100 years,"Pigs, Cats, Rodents ",,,Sphenodontia,,Sphenodontidae,woodland and grassland,Threatened,,600-900g (1.3-1.9lbs),Chordata
,,,,,,Scales,,Animalia,,Geochelone Elegans,Tortoise,Herbivore,0.5km/h (0.3mph),,5,,,Reptilia,Solitary,,"Grey, Brown, Black, Yellow, Green",,30-150 years,"Fox, Badger, Coyote",,,Testudines,,Testudinidae,Sandy soil close to water,Endangered,,0.1-300kg (0.2-661lbs),Chordata
,,Ramphastos,,,,Feathers,,Animalia,,Ramphastos Toco,Toucan,Omnivore,64km/h (39mph),,,,,Aves,Solitary,,"White, Yellow, Orange, Black",,12 - 20 years,"Human, Weasels, Large Birds",,,Piciformes,,Ramphastidae,Lowland rainforest and tropical forest borders,Least Concern,,130g - 680g (4.6oz - 24oz),Chordata
,,Galeocerdo,,,,Smooth,,Animalia,,Galeocerdo Cuvier,Tiger Shark,Carnivore,32km/h (20mph),,35,,,Chondrichthyes,Solitary,,"Grey, Brown, Black, White",,30-40 years,Human,,,Carcharhiniformes,,Carcharhinidae,Tropical coastal waters,Threatened,,"385-635kg (850-1,400lbs)",Chordata
,,Ambystoma,,,,Permeable,,Animalia,,Ambystoma Tigrinum,Tiger Salamander,Carnivore,17km/h (10mph),,,,,Amphibia,Solitary,,"Black, Green, Grey, Brown, Yellow",,10-15 years,"Raccoon, Coati, River Turtles",,,Caudata,,Ambystomatidae,"Wetlands, rivers and streams",Least Concern,,113-227g (4-8oz),Chordata
,,Panthera,,,,Fur,,Animalia,,Panthera Tigris,Tiger,Carnivore,96km/h (60mph),,3,,,Mammalia,Solitary,,"Orange, Black, White",,18-25 years,Human,,,Carnivora,,Felidae,Dense tropical forest,Endangered,,267-300kg (589-660lbs),Chordata
,,Moloch,,,,Scales,,Animalia,,Moloch Horridus,Thorny Devil,Omnivore,60km/h (37mph),,6,,,Reptilia,Solitary,,"Red, Grey, Brown",,12-20 years,"Snakes, Human, Birds",,,Squamata,,Agamidae,Dry desert and shrub land,Least Concern,,70-95g (2.5-3.4oz),Chordata
,,Paracheirodon,,,,Scales,,Animalia,,Paracheirodon Axelrodi,Tetra,Omnivore,,,,,,Actinopterygii,,,"Black, Silver, Red, Blue, White",,2-5 years,"Fish, Eels, Crustaceans",,Tetra,Characiformes,,Characidae,Clearwater streams of South America,Least Concern,,,Chordata
,,,,,,Shell,,Animalia,,Isoptera,Termite,Herbivore,,,"1,000",,,Insecta,,,"Red, Black, Brown, White",,,"Birds, Reptiles, Mammals",,Termite,Isoptera,,,Forests and areas with high humidity,Least Concern,,,Arthropoda
,,Strix,,,,Feathers,,Animalia,,Strix Aluco,Tawny Owl,Omnivore,80km/h (50mph),,,,,Aves,Solitary,,"Black, White, Grey, Tan, Brown",,4 - 6 years,"Hawks, Eagles, Buzzards",,,Strigiformes,,Strigidae,Dense forest and open woodland,Threatened,,350g - 650g (12oz - 23oz),Chordata
