Number Of Species,Group,Genus,Biggest Threat,Prey,Location,Skin Type,Gestation Period,Kingdom,Age Of Weaning,Scientific Name,header_name,Diet,Top Speed,Estimated Population Size,Average Litter Size,Size (L),Other Name(s),Class,Lifestyle,Age Of Sexual Maturity,Colour,Name Of Young,Life Span,Predators,Fun Fact,Common Name,Order,Group Behaviour,Family,Habitat,Conservation Status,Most Distinctive Feature,Weight,Phylum
,,Dasyurus,,,,Fur,,Animalia,,Dasyurus Viverrinus,Quoll,Omnivore,24km/h (15mph),,4,,,Mammalia,Solitary,,"Black, Brown, White, Grey, Tan",,3-6 years,"Human, Snakes, Crocodiles",,,Dasyuromorphia,,Dasyuridae,Woodland and grassland,Threatened,,1.3-7kg (3-15.4lbs),Chordata
1,Mammal,Setonix,Habitat loss,"Grasses, Leaves, Fruits",south-west Australia,Fur,27 days,Animalia,8 months,Setonix brachyurus,Quokka,Herbivore,32kph (20mph),"20,000",1,40cm - 54cm (16in - 19in),,Mammalia,Nocturnal,10 - 12 months,"Brown, Grey, Red",Joey,5 - 10 years,"Foxes, Cats, Dogs",Makes runways through the long grasses!,Quokka,Diprotodontia,Family units,Macropodidae,Dense vegetation close to water,Vulnerable,"Rounded body, ears and snout",1.5kg - 4.5kg (3.3lbs - 10lbs),Chordata
6,Bird,"Pharomachrus, Euptilotis",Habitat loss and capture,"Fruits, Berries, Insects",Central America,Feathers,,Animalia,,"Pharomachrus, Euptilotis",Quetzal,Omnivore,,"50,000",,,Trogon,Aves,Crepuscular,5 - 6 years,"Green, Blue, Red, White, Bronze, Grey, Brown",Chick,20 - 25 years,"Squirrels, Owls, Hawks",The tail feathers of the male can be 1m long!,Quetzal,Trogoniformes,Solitary,Trogonidae,High and moist cloud forests,Threatened,Soft and deep but loud calls,200g - 225g (7oz - 8oz),Chordata
,,Coturnix,,,,Feathers,,Animalia,,Coturnix Coturnix,Quail,Omnivore,24km/h (15mph),,,,,Aves,Solitary,,"Brown, Black, White, Blue",,3 - 5 years,"Cats, Snakes, Raccoons",,,Galliformes,,Phasianidae,Woodland and forest areas,Least Concern,,70g - 140g (2.4oz - 4.9oz),Chordata
,,Cebuella,,,,Fur,,Animalia,,Callithrix Pygmaea,Pygmy Marmoset,Omnivore,40km/h (24mph),,2,,,Mammalia,Troop,,"Brown, Tan, Grey, Black, White",,8-12 years,"Birds, Snakes, Wildcats",,,Primates,,Callitrichidae,Outskirts of tropical rainforest,Threatened,,120-140g (4.2-4.9oz),Chordata
2,Mammal,Hippopotamus,Hunting and habitat loss,"Grasses, Fruits, Leaves",West Africa,Leather,7 months,Animalia,8 months,Choeropsis liberiensis,Pygmy Hippopotamus,Herbivore,30kph (18.6mph),"3,000",1,1.5m - 1.7m (5ft - 5.5ft),Dwarf Hippopotamus,Mammalia,Nocturnal,4 - 5 years,"Light Grey, Dark Grey, Pink",Calf,30 - 40 years,"Leopards, Pythons, Crocodiles",Spends more time on land than in water!,Pygmy Hippopotamus,Artiodactyla,Solitary,Hippopotamidae,"Hot, lowland rainforest",Endangered,Webbed toes and barrel-shaped body,160kg - 270kg (350lbs - 600lbs),Chordata
,,Cerura,,,,Hairs,,Animalia,,Cerura Vinula ,Puss Moth,Omnivore,,,15,5cm - 8cm (1.9in - 3.1in),,Insecta,,,"Black, Brown, Green, Blue, White, Yellow, Grey",,,"Bats, Rats, Birds",,Puss Moth,Lepidoptera,,Notodontidae,Dense woodland,Threatened,,,Arthropoda
,,Apatura,,,,Hair,,Animalia,,Apatura Iris  ,Purple Emperor,Omnivore,,,100,6.2cm - 7.4cm (2.4in - 2.9in),,Insecta,,,"Purple, Blue, Brown, Black, White, Orange, Yellow",,,"Bats, Frogs, Birds",,Purple Emperor,Lepidoptera,,Nymphalidae,Deciduous woodland,Threatened,,,Arthropoda
7,Mammal,Puma,Habitat loss,"Rats, Deer, Sheep",North and South America,Fur,3 months,Animalia,2 months,Felis concolor,Puma,Carnivore,45kph (30mph),"50,000",4,,"Cougar, Mountain Lion",Mammalia,Crepuscular,2 - 3 years,"Brown, Red, Yellow, Grey",Cub,10 - 15 years,"Bears, Wolves, Puma",Has longer back legs than front legs!,Puma,Carnivora,Solitary,Felidae,mountain forest and jungle,Least Concern,Has a solid-coloured coat of fur,67kg - 105kg (148lbs - 231.5lbs),Chordata
4,Bird,Fratercula,Hunting and Pollution,"Sandeel, Herring, Sprat",Northern Hemisphere,Feathers,,Animalia,,Fratercula arctica,Puffin,Carnivore,88kph (55mph),Decreasing,,,"Atlantic Puffin, Tufted Puffin, Horned Puffin, Rhinoceros Auklet",Aves,Diurnal,4 - 5 years,"Black, White, Grey",Chick,15 - 30 years,"Gulls, Skuas, Foxes",Can remain in the water for up to 2 minutes!,Puffin,Charadriiformes,Colony,Alcidae,Sea and coastal regions,Least Concern,"Brightly coloured, triangular bill",368.5g - 481.9g (13oz - 17oz),Chordata
,,,,,,Scales,,Animalia,,Tetraodontidae,Puffer Fish,Omnivore,,,,17cm - 60cm (7in - 24in),,Actinopterygii,,,"Grey, Yellow, Blue, White, Brown",,4 - 8 years,"Humans, Sharks, Large Fish",,Puffer Fish,Tetraodontiformes,,Tetraodontidae,Shallow waters and coral reefs,Least Concern,,,Chordata
2,Mammal,Nasalis,Habitat loss,"Leaves, Shoots, Fruits",Borneo,Fur,166 days,Animalia,7 months,Nasalis larvatus,Proboscis Monkey,Omnivore,24kph (15mph),"7,000",1,,Long-Nosed Monkey,Mammalia,Diurnal,4 - 5 years,"Orange, Tan, Red, Brown, White, Grey",Infant,15 - 20 years,"Clouded Leopard, Crocodile, Human",Natively found on the island of Borneo!,Proboscis Monkey,Primates,Troop,Cercopithecidae,Coastal mangroves and riverine forests,Endangered,"Long, fleshy nose and swollen stomach",7kg - 22kg (15lbs - 48lbs),Chordata
,,,,,,Shell,,Animalia,,Dendrobranchiata,Prawn,,,,100,,,Crustacea,,,"Pink, Grey, Black, White",,2-4 years,"Human, Fish, Squid",,Prawn,Decapoda,,Dendrobranchiata,"Rocky, coastal waters",Least Concern,,,Arthropoda
,,Phalangeridae,,,,Fur,,Animalia,,Phalangeriforme,Possum,Omnivore,25km/h (15mph),,2,,,Mammalia,Solitary,,"Tan, Black, Brown, White, Grey",,5-8 years,"Fox, Cat, Birds of Prey",,,Diprotodontia,,Phalangeriformes,Bushland and rainforest,Least Concern,,0.1-14.5kg (0.22-32lbs),Chordata
,,Erethizon,,,,Spikes,,Animalia,,Erethizon Dorsaum,Porcupine,Omnivore,3km/h (2mph),,1,,,Mammalia,Solitary,,"Brown, Grey, Black, Yellow",,8-12 years,"Owl, Eagles, Wolves",,,Rodentia,,Erethizontidae,Dense forests and grassland,Least Concern,,5.4-16kg (12-35lbs),Chordata
,,Pelophylax,,,,Permeable,,Animalia,,Pelophylax Lessonae,Pool Frog,Carnivore,8km/h (5mph),,,5cm - 9cm (1.9in - 3.5in),,Amphibia,Solitary,,"Brown, Green, Black, Yellow",,1 - 6 years,"Foxes, Cats, Birds",,,Anura,,Ranidae,Woodland ponds,Least Concern,,20g - 80g (0.7oz - 2.8oz),Chordata
,,,,,,Shell,,Animalia,,Gerridae  ,Pond Skater,Herbivore,,,200,1.6mm - 3.6mm (0.06in - 0.14in),,Insecta,,,"Black. Brown, Yellow, Tan",,,"Fish, Frogs, Birds",,Pondskater,Hemiptera,,Gerridae,Still water,Least Concern,,0.1g - 0.5g (0.004oz - 0.018oz),Arthropoda
1,Mammal,Ursus,Global warming,"Seal, Walrus, Seabirds",Arctic Ocean,Fur,6 - 9 months,Animalia,2 - 3 years,Ursus maritimus,Polar Bear,Carnivore,40kph (25mph),"20,000 - 25,000",,2m - 2.5m (6.5ft - 8.3ft),Nanuuq,Mammalia,Diurnal,3 - 5 years,"Clear, White, Yellow",Cub,20 - 30 years,Humans,Could be extinct within the next 30 years!,Polar Bear,Carnivora,Solitary,Ursidae,Coastal ice fields and floating ice,Vulnerable,Clear not white fur and black skin,"150kg - 600kg (330lbs - 1,322lbs)",Chordata
,,,,,,Permeable,,Animalia,,Dendrobatidae,Poison Dart Frog,Carnivore,17km/h (10mph),,10,,,Amphibia,Solitary,,"Green, Red, Blue, Yellow, Orange",,2-4 years,Snake,,,Anura,,Dendrobatidae,Tropical jungle and wet forests,Threatened,,2-7g (0.07-0.25oz),Chordata
,,Ornithorhynchus,,,,Fur,,Animalia,,Ornithorhynchus Anatinus,Platypus,Omnivore,35km/h (22mph),,2,,,Mammalia,Solitary,,"Brown, Grey, Black",,15-20 years,"Fox, Snakes, Crocodile",,,Monotremata,,Ornithorhynchidae,"Freshwater creeks, rivers and lakes",Least Concern,,0.7-2.4kg (1.5-5.3lbs),Chordata
,,Piranha,,,,Scales,,Animalia,,Pygocentrus Nattereri,Piranha,Omnivore,,,,20cm - 50cm (7.8in - 20in),,Actinopterygii,,,"Grey, Yellow, Blue, Red",,20 - 25 years,"Botos, Crocodiles, Turtles",,,Characiformes,,Characidae,Fast flowing rivers and Amazon basin,Least Concern,,,Chordata
,,Chlamyphorus,,,,Hard Shell,,Animalia,,Chlamyphorus truncatus,Pink Fairy Armadillo,Omnivore, Unknown,,1 ,90mm -115mm (3.5in - 4.5in),,Mammalia,Solitary,,Pale Rose,,5 - 10 years,Domestic Dogs,,,Cingulata,,Dasypodidae,Dry Grasslands and Sandy Plains,Threatened,,120g (4.2 oz),Chordata
,,Esox,,,,Smooth,,Animalia,,Esox,Pike,Carnivore,,,"100,000",0.5m - 1.8m (20in - 71in),,Actinopterygii,,,"Grey, Blue, Black, White",,12 - 15 years,"Eagles, Dogs, Humans",,Pike,Esociformes,,Esocidae,Slow moving water,Least Concern,,,Chordata
,,Ochotona,,,,Fur,,Animalia,,Ochotona Minor,Pika,Herbivore,24km/h (15mph),,3,,,Mammalia,Solitary,,"Black, Brown, Grey, White, Tan",,3-6 years,"Weasel, Eagle, Dogs ",,,Lagomorpha,,Ochotonidae,Mountainous areas,Least Concern,,75-290g (2.6-10oz),Chordata
,,Sus,,,,Hair,,Animalia,,Sus Scrofa Scrofa,Pig,Omnivore,17km/h (11mph),,7,,,Mammalia,Herd,,"Grey, Pink, Black, Brown, White",,8-15 years,"Human, Wolf, Snakes",,,Artiodactyla,,Suidae,Forests and grassland,Least Concern,,30-350kg (66-770lbs),Chordata
,,Saguinus,,,,Fur,,Animalia,,Saguinus Bicolor,Pied Tamarin,Omnivore,40km/h (24mph),,2,18cm - 30cm (7in - 12in),,Mammalia,Troop,,"Black, White, Brown, Tan, Red",,8 - 15 years,"Hawks, Snakes, Wild Cats",,,Primates,,Callitrichidae,Lowland tropical forest,Endangered,,220g - 900g (7.7oz - 32oz),Chordata
,,Phasianus,,,,Feathers,,Animalia,,Phasianus Colchicus,Pheasant,Omnivore,30km/h (18mph),,,53cm - 84cm (21in - 33in),,Aves,Solitary,,"Brown, Black, Tan, Yellow, Orange, Red, Green",,7 - 10 years,"Fox, Dog, Human",,,Galliformes,,Phasianidae,"Grasslands, fields and wetlands",Least Concern,,0.9kg - 1.5kg (1.9lbs - 3.3lbs),Chordata
,,,,,,Feathers,,Animalia,,Aptenodytes Forsteri,Penguin,Omnivore,65km/h (40mph),,,,,Aves,Group,,"Black, White, Grey, Yellow",,20 - 30 years,"Leopard Seals, Sharks, Killer Whale",,,Sphenisciformes,,Spheniscidae,Cold seas and rocky land,Threatened,,1kg - 35kg (2.2lbs - 75lbs),Chordata
,,Pelecanus,,,,Feathers,,Animalia,,Pelecanus Occidentalis,Pelican,Omnivore,65km/h (40mph),,,,,Aves,Flock,,"Black, White, Grey",,16 - 23 years,"Human, Cat, Coyote",,,Pelecaniformes,,Pelecanidae,Arid islands and coastal waters,Least Concern,,2.7kg - 15kg (6lbs - 33lbs),Chordata
,,Pavo,,,,Feathers,,Animalia,,Pavo Cristatus,Peacock,Omnivore,16km/h (10mph),,,86cm - 107cm (34in - 42in),,Aves,Solitary,,"Brown, Blue, Green, Grey",,12 - 20 years,"Dogs, Raccoon, Tiger, Wild cats",,,Galliformes,,Phasianidae,Desert and savanna areas,Least Concern,,2.7kg - 6kg (6lbs - 13.2lbs),Chordata
1,Mammal,Erythrocebus,Hunting and capture,"Fruit, Insects, Eggs",Central Africa,Hair,5 months,Animalia,6 months,Erythrocebus patas,Patas Monkey,Omnivore,55kph (35mph),Decreasing,1,,"Military Monkey, Hussar Monkey, Red Guenon",Mammalia,Diurnal,3 - 5 years,"Red, Brown, White, Grey, Black",Infant,12 - 20 years,"Leopard, Hyena, Lion",The fastest species of primate in the world!,Patas Monkey,Primates,Troop,Cercopithecidae,Savanna and open woodland,Least Concern,Red back and white moustache and beard,4kg - 13kg (8.8lbs - 28.6lbs),Chordata
,,,,,,Feathers,,Animalia,,Psittacine,Parrot,Omnivore,24km/h (15mph),,,,,Aves,Solitary,,"Red, Blue, Yellow, Green, White",,40 - 80 years,"Human, Monkeys, Large Birds",,,Psittaciformes,,Psittacidae,Rainforests and tropical jungle,Endangered,,"10g - 4,000g (0.02lbs - 5.9lbs)",Chordata
31,Mammal,Panthera,Habitat loss,"Deer, Tapir, Wild Boar","Asia, Africa, America",Fur,90 - 105 days,Animalia,3 months,"Panthera pardus, Panthera onca ",Panther,Carnivore,114kph (71mph),Not Known,3,1.1m - 1.9m (43in - 75in),"Black Panther, Black Leopard, Black Jaguar",Mammalia,Nocturnal,3 - 4 years,"Dark Brown, Black",Cub,12 - 15 years,"Human, Lion, Hyena",Prefers to hunt at night than during the day!,Panther,Carnivora,Solitary,Felidae,"Forest, swampland and grasslands",Threatened,Bright emerald green eyes,36kg - 160kg (79lbs - 350lbs),Chordata
,,,,,,Shell,,Animalia,,Ostreidae,Oyster,Omnivore,,,"1,000,000",3cm - 15cm (1.2in - 6in),,Bivalvia,,,"Black. Brown, Yellow, Tan, Silver, White",,,"Fish, Birds, Humans",,Oyster,Ostreoida,,Ostreidae,Reefs and rocky shores,Least Concern,,50g - 200g (1.7oz - 7oz),Mollusca
,,Thylogale,,,,Fur,,Animalia,,Thylogale,Pademelon,Herbivore,55km/h (34mph),,1,,,Mammalia,Solitary,,"Black, Brown, Grey, Red",,4-8 years,"Foxes, Dogs, Dingos",,,Diprotodontia,,Macropodidae,Dense rainforest and shrubland,Threatened,,3.5-12kg (7.7-26lbs),Chordata
,,Lutra,,,,Fur,,Animalia,,Lutra Canadensis,Otter,Carnivore,11km/h (7mph),,3,,,Mammalia,Solitary,,"Brown, Tan, White",,15-25 years,"Birds, Fox, Wolves",,,Carnivora,,Mustelidae,"River banks, lakes and streams",Threatened,,5-15kg (10-30lbs),Chordata
,,Struthio,,,,Feathers,,Animalia,,Struthio Camelus,Ostrich,Omnivore,74km/h (42mph),,,,,Aves,Herd,,"Brown, Black, Grey, White, Pink",,50 - 70 years,"Hyena, Lion, Cheetah",,,Struthioniformes,,Struthionidae,Desert and savanna areas,Least Concern,,63kg - 130kg (140lbs - 290lbs),Chordata
3,Mammal,Pongo,Hunting and Habitat Loss,"Fruits, Bark, Insects",Borneo and Sumatra,Hair,9 months,Animalia,3 years,"Pongo pygmaeus, Pongo abelii, Pongo tapanuliensis",Orang-utan,Omnivore,6kph (2.7mph),"20,000",1,,"Red Ape, Forest Person",Mammalia,Diurnal,12 - 15 years,"Red, Orange, Grey, Brown, Black",Infant,30 - 40 years,"Human, Tiger, Clouded Leopard","An estimated 5,000 are killed every year!",Orang-utan,Primates,Solitary,Hominidae,Lowland tropical forest,Critically Endangered,Red hair and longer arms than legs,30kg - 90kg (66lbs - 200lbs),Chordata
,,Didelphis,,,,Fur,,Animalia,,Didelphis Virginiana,Opossum,Omnivore,25km/h (15mph),,6,,,Mammalia,Solitary,,"Black, Brown, White, Grey",,2-7 years,"Fox, Cat, Birds of Prey",,,Didelphimorphia,,Didelphidae,Forest and farmland close to water,Least Concern,,0.5-6kg (1.1-13lbs),Chordata
,,Proteus,,,,Permeable,,Animalia,,Proteus Anguinus,Olm,Carnivore,8km/h (5mph),,,2.5cm - 30cm (0.9in - 12in),,Amphibia,Solitary,,"Pink, White, Peach",,10 - 50 years,"Fish, Toads, Birds",,,Caudata,,Proteidae,Underground watery caves,Threatened,,2g - 150g (0.07oz - 5.3oz),Chordata
1,Mammal,Okapia,Habitat loss,"Leaves, Shoots, Fruit",central Africa,Fur,15 months,Animalia,6 months,Okapia johnstoni,Okapi,Herbivore,60kph (37mph,"22,000",1,1.5m - 2m (4.9ft - 6.5ft),Forest Zebra,Mammalia,Diurnal,2 - 3 years,"Red, Brown, Black, White",Calf,20 - 30 years,"Leopard, Serval, Human",Eats more than 100 different types of plant!,Okapi,Artiodactyla,Solitary,Giraffidae,Dense mountain rainforest,Near Threatened,Horizontal white stripes on rear and legs,200kg - 300kg (440lbs - 660lbs),Chordata
,,,,,,Smooth,,Animalia,,Octopus Vulgaris,Octopus,Omnivore,43km/h (27mph),,80,,,Cephalopoda,Solitary,,"Tan, Brown, Red, Orange, Blue, Purple",,2-15 years,"Eels, Sharks, Dolphins",,,Octopoda,,Octopodidae,Tropical and temperate waters worldwide,Least Concern,,5-75kg (11-165lbs),Mollusca
1,Mammal,Leopardus,Habitat loss,"Rodents, Lizards, Deer",South America,Fur,79 - 85 days,Animalia,6 weeks,Leopardus pardalis,Ocelot,Carnivore,61kph (38mph),"800,000",2,55cm - 100cm (22in - 40in),Painted Leopard,Mammalia,Nocturnal/Crepuscular,2 - 3 years,"Tan, Yellow, Red, Grey, Black",Kitten,8 - 12 years,"Jaguar, Puma, Harpy Eagle",Also known as the Painted Leopard!,Ocelot,Carnivora,Solitary,Felidae,"Tropical jungle, grassland and marshes",Least Concern,"Rosettes, spots and stripes on fur",11.5kg - 16kg (25lbs - 35lbs),Chordata
,,Myrmecobius,,,,Fur,,Animalia,,Myrmecobius Fasciatus,Numbat,Omnivore,24km/h (15mph),,4,,,Mammalia,Sociable,,"Black, Brown, Grey, White, Tan, Red",,4-8 years,"Snakes, Foxes, Birds of Prey ",,,Dasyuromorphia,,Myrmecobiidae,Eucalyptus woodland and grassland,Endangered,,280-550g (9.9-19oz),Chordata
,,Ginglymostoma,,,,Smooth,,Animalia,,Ginglymostoma Cirratum,Nurse Shark,Carnivore,40km/h (25mph),,20,,,Chondrichthyes,Solitary,,"Black, Brown, Grey, White",,20-25 years,"Human, Bull Shark, Tiger Shark",,,Orectolobiformes,,Ginglymostomatidae,Warm waters and tropical coastal regions,Threatened,,90-150kg (198-330lbs),Chordata
,,Luscinia,,,,Feathers,,Animalia,,Luscinia Magarhynchos,Nightingale,Omnivore,29km/h (18mph),,,14cm - 16.5cm (5.5in - 6.5in),,Aves,Solitary,,"Brown, Tan",,1 - 3 years,"Rats, Cats, Lizards",,,Passeriformes,,Muscicapidae,Open forests and thickets,Least Concern,,15g - 22g (0.5oz - 0.7oz),Chordata
,,Pleurodelinae,,,,Scales,,Animalia,,Lissotriton Vulgaris,Newt,Omnivore,42km/h (30mph),,100,,,Lissamphibia,Solitary,,"Black, Brown, Grey, Green, Orange, Red, Yellow",,2-15 years,"Birds, Fox, Reptiles",,,Caudata,,Salamandridae,Temperate forests and river banks,Least Concern,,10-50g (0.3-1.8oz),Chordata
,,Homo,,,,Smooth,,Animalia,,Homo Sapiens Neanderthalensis,Neanderthal,Omnivore,8km/h (5mph),,1,,,Mammalia,Group,,"Brown, Tan, Black, White, Olive",,35-50 years,"Bears, Lion, Tiger",,,Primates,,Hominidae,Worldwide based near rivers,Extinct,,60-70kg (132-154lb),Chordata
,,Equus,,,,Fur,,Animalia,,Equus Mule,Mule,Herbivore,24km/h (15mph),,0,,,Mammalia,Herd,,"Grey, Brown, Black",,15-20 years,"Fox, Wolf, Lion",,,Perissodactyla,,Equidae,Arid forests and deserts,Least Concern,,350-450kg (771-992lbs),Chordata
,,Mus,,,,Fur,,Animalia,,Apodemus Sylvaticus,Mouse,Herbivore,12.8km/h (8mph),,6,,,Mammalia,Solitary,,"Black, Brown, Grey",,2-5 years,"Bird, Cat, Fox, Reptiles",,,Rodentia,,Muridae,Open fields and woodland areas,Least Concern,,100-200g (0.2-0.4lbs),Chordata
,,Puma,,,,Fur,,Animalia,,Felis Concolor,Mountain Lion,Carnivore,45km/h (30mph),,,,,Mammalia,Solitary,,"Tan, Black, Brown",,10-20 years,"Human, Grizzly Bear",,,Carnivora,,Felidae,Forest and mountainous regions,Least Concern,,29-90kg (64-198lbs),Chordata
,,Gorilla,,,,Hair,,Animalia,,Gorilla Berengei Berengei,Mountain Gorilla,Omnivore,40km/h (25mph),,1,,,Mammalia,Social,,"Black, Brown, Grey",,35-50 years,"Human, Leopard",,,Primates,,Hominidae,Tropical forest and jungles in mountainous regions,Endangered,,204-227kg (450-500lbs),Chordata
,,,,,,Hair,,Animalia,,Gynnidomorpha Alisman,Moth,Herbivore,,,100,,,Insecta,,,"Red, Black, Yellow, Orange, Brown, White",,,"Birds, Bats, Lizards, Spiders",,Moth,Lepidoptera,,,Quiet forests and pastures,Threatened,,,Arthropoda
,,,,,,Scales,,Animalia,,Muraenidae,Moray Eel,Carnivore,,,,,,Actinopterygii,,,"Grey, Black, Brown, White, Yellow, Green, Blue, Orange",,10-30 years,"Sharks, Humans, Barracuda",,Moray Eel,Anguilliformes,,Muraenidae,Coastal and deep waters,Least Concern,,,Chordata
,,Alces,,,,Hair,,Animalia,,Alces Alces,Moose,Herbivore,32km/h (20mph),,1,,,Mammalia,Herd,,"Tan, Brown, Grey",,10-16 years,"Human, Bear, Wolves",,,Artiodactyla,,Cervidae,Forest areas close to the Arctic tundra,Least Concern,,"270-720kg (600-1,580lbs)",Chordata
,,Gallinula,,,,Feathers,,Animalia,,Gallinula,Moorhen,Omnivore,35km/h (22mph),,,25cm - 38cm (10in - 15in),,Aves,Flock,,"Black, White, Brown",,1 - 3 years,"Foxes, Dogs, Raccoons",,,Gruiformes,,Rallidae,"Marshes, wetlands and ponds",Least Concern,,70g - 400g (2.5oz - 14oz),Chordata
,,Eleutherodactylus,,,,Permeable,,Animalia,,Eleutherodactylus Iberia,Monte Iberia Eleuth,Carnivore,8km/h (5mph),,,9.6mm - 9.8mm (0.37in - 0.38in),,Amphibia,Solitary,,"Black, Yellow, Brown, White",,1 - 3 years,"Fish, Toads, Birds",,,Anura,,Leptodactylidae,Water around Mount Iberia,Critically Endangered,,1.5g - 2g (0.05oz - 0.07oz),Chordata
,,,,,,Hair,,Animalia,,Macaca Fascicularis,Monkey,Omnivore,56km/h (35mph),,1,,,Mammalia,Troop,,"Tan, Brown, Grey, Black, White, Yellow",,10-30 years,"Birds, Snakes, Wildcats",,,Primates,,Cebidae,"Tropical forests, grasslands and mountainous plains",Least Concern,,0.1-30kg (0.22-60lbs),Chordata
,,Varanus,,,,Scales,,Animalia,,Varanus Indicus,Monitor Lizard,Omnivore,45km/h (28mph),,10,,,Reptilia,Solitary,,"Tan, Brown, Grey, Green",,8-30 years,"Human, Snakes, Wildcats",,,Squamata,,Varanidae,River banks and coastal forests,Threatened,,1-166kg (2.2-366lbs),Chordata
,,,,,,Fur,,Animalia,,Helogale Parvula,Mongoose,Omnivore,32km/h (20mph),,4,,,Mammalia,Gang,,"Tan, Brown, Grey",,10-15 years,"Hawks, Snakes, Jackal",,,Carnivora,,Herpestidae,Open forests and grass plains,Endangered,,0.3-4kg (0.7-8.8lbs),Chordata
,,Poecilia,,,,Scales,,Animalia,,Poecilia,Molly,Omnivore,,,,5cm - 10cm (2in - 4in),,Actinopterygii,,,"Brown, Black, Yellow, White, Green, Blue, Red, Orange",,3 - 5 years,"Large Fish, Birds, Reptiles",,Molly,Cyprinodontiformes,,Poeciliidae,Rivers in the Amazon Rainforest,Threatened,,,Chordata
,,,,,,Fur,,Animalia,,Talpidae,Mole,Omnivore,6km/h (4mph),,4,,,Mammalia,Solitary,,"Brown, Grey, Black, White",,3-6 years,"Cats, Owls, Foxes",,,Soricomorpha,,Talpidae,"Woodland, grassland and farmland",Threatened,,250-550g (8.8-19.4oz),Chordata
,,Balaenoptera,,,,Smooth,,Animalia,,Balaenoptera Acutorostrata,Minke Whale,Carnivore,21km/h (13mph),,1,,,Mammalia,Herd,,"Black, Brown, Grey, White",,30-50 years,"Human, Sharks, Killer Whales",,,Cetacea,,Balaenopteridae,Ocean surface in temperate waters,Threatened,,"4,536-12,700kg (5-14tons)",Chordata
,,,,,,Shell,,Animalia,,Diplopoda,Millipede,Omnivore,,,500,,,Myriapoda,,,"Red, Black, Yellow, Orange, Brown",,,"Birds, Badgers, Rodents",,Millipede,Diplopoda,,,Moist micro-habitats,Least Concern,,,Arthropoda
3,Mammal,Suricata,Climate change,"Insects, Rodents, Lizards",South-western Africa,Fur,11 weeks,Animalia,4 - 6 weeks,Suricata suricatta,Meerkat,Carnivore,32kph (20mph),Common,3,,Suricate,Mammalia,Diurnal,1 year,"Light Brown, Tan, Yellow, White, Brown, Black",Kit,10 - 14 years,"Hawks, Jackal, Snakes",One will stand on guard to watch for predators!,Meerkat,Carnivora,Band/Gang,Herpestidae,Semi-desert and scrub-land,Least Concern,Dark bands around eyes and white face,600g - 975g (1.3lbs - 2.1lbs),Chordata
,,,,,,Shell,,Animalia,,Ephemeroptera,Mayfly,Omnivore,,,"1,000",,,Insecta,,,"Green, Brown, Tan, Grey, Black, Yellow",,,"Birds, Rodents, Reptiles",,Mayfly,Ephemeroptera,,,Forest and woodland close to water,Threatened,,,Arthropoda
,,Paguma,,,,Fur,,Animalia,,Paguma Larvata,Masked Palm Civet,Carnivore,,,2,,,Mammalia,Solitary,,"Black, White, Grey, Yellow, Brown, Tan",,15 - 20 years,"Lions, Snakes, Leopards",,,Carnivora,,Viverridae,Tropical rainforest,Vulnerable,,1.4kg - 4.5kg (3lbs - 10lbs),Chordata
,,Pelophylax,,,,Permeable,,Animalia,,Pelophylax Ridibundus,Marsh Frog,Carnivore,8km/h (5mph),,,12cm - 17cm (4.7in - 7in),,Amphibia,Solitary,,"Brown, Black, Green, Yellow, White",,5 - 10 years,"Fish, Toads, Birds",,,Anura,,Ranidae,"Ponds, lakes and rivers",Least Concern,,12g - 15g (0.4oz - 0.5oz),Chordata
,,Capra,,,,Hair,,Animalia,,Capra Falconeri,Markhor,Herbivore,17km/h (10mph),,1,132cm - 186cm (52in - 73in),,Mammalia,Herd,,"Grey, Black, White, Brown, Tan",,10 - 13 years,"Wolves, Snow Leopard, Lynx",,,Artiodactyla,,Bovidae,Sparsely wooded cliff-sides,Endangered,,32kg - 110kg (71lbs - 240lbs),Chordata
,,Bufo,,,,Permeable,,Animalia,,Bufo Marinus,Marine Toad,Carnivore,8km/h (5mph),,,10cm - 15cm (4in - 6in),,Amphibia,Solitary,,"Black, Green, Grey, Brown, Tan",,10 - 15 years,"Dogs, Snakes, Birds",,,Anura,,Bufonidae,Forests and fields close to water,Least Concern,,200g - 800g (7oz - 28oz),Chordata
,,Manta,,,,Smooth,,Animalia,,Manta Birostris,Manta Ray,Carnivore,,,,6m - 9m (19.7ft - 29.5ft),,Chondrichthyes,,,"Grey, Blue, Black, White",,15 - 20 years,"Sharks, Humans, Killer Whales",,Manta Ray,Myliobatiformes,,Mobulidae,Warmer tropical waters,Near Threatened,,,Chordata
,,Mandrillus,,,,Fur,,Animalia,,Mandrillus Sphinx,Mandrill,Omnivore,40km/h (25mph),,1,,,Mammalia,Troop,,"Black, Brown, Grey, White, Tan",,20-28 years,"Leopard, Eagles, Snakes",,,Primates,,Cercopithecidae,Dense and coastal tropical forests,Threatened,,11.5-30kg (25-60lbs),Chordata
,,Trichechus,,,,Smooth,,Animalia,,Trichechus Manatu,Manatee,Herbivore,22km/h (13mph),,1,,,Mammalia,Solitary,,"Grey, Brown",,50-70 years,"Human, Sharks",,,Sirenia,,Trichechidae,Warm coastal waters and slow-moving rivers,Endangered,,"400-550kg (800-1,212lbs)",Chordata
